model,C,gamma,epsilon,oof_rmse,fold_mean,fold_std,time
svr_rbf,120,0.008,0.01,22.206526900091276,22.150848456175048,1.5715437111467738,13.36529149999842
svr_rbf,120,0.006,0.005,22.24654796855702,22.2166309836511,1.1533448112261968,9.696941300062463
svr_rbf,120,0.006,0.01,22.255271992851043,22.228316569319627,1.0950223604522593,9.109329599887133
svr_rbf,90,0.008,0.01,22.36134801443145,22.319563808867436,1.3663661311713682,6.630839299876243
svr_rbf,120,0.008,0.005,22.385717109026643,22.297284554278658,1.9878209151969977,18.676761999959126
svr_rbf,120,0.006,0.002,22.54385717860987,22.513091835699218,1.1773667597367685,12.070431800093502
svr_rbf,90,0.008,0.005,22.56527395579165,22.50393295372392,1.6627057208741192,9.42154060001485
svr_rbf,75,0.008,0.01,22.570001657785518,22.536345179623105,1.232120439453585,6.143806200008839
svr_rbf,120,0.012,0.002,22.613575523652344,22.46962221179694,2.5475234293427316,32.2632961999625
svr_rbf,120,0.01,0.005,22.637009974359607,22.51722802420505,2.32565317388707,22.635439399862662
svr_rbf,120,0.012,0.005,22.668001661441718,22.547300661931754,2.3361361654613133,25.009472999954596
svr_rbf,90,0.01,0.005,22.685528047575925,22.585873172313434,2.1240329191249456,12.715538900112733
svr_rbf,75,0.008,0.005,22.689482924506944,22.641167683273345,1.4799193624623233,8.853652499848977
svr_rbf,90,0.012,0.002,22.749489100761387,22.60364183306802,2.5718923437886065,27.831133699975908
svr_rbf,90,0.012,0.005,22.75456627355992,22.6422006283894,2.2585475424691075,20.958000500220805
svr_rbf,90,0.006,0.01,22.777008845935,22.75842835631608,0.9198210251072383,5.279639799846336
svr_rbf,120,0.008,0.002,22.779192303970415,22.676530929981368,2.160219202503149,24.976929999887943
svr_rbf,90,0.01,0.01,22.78256639960883,22.70927834648385,1.8259268152105164,10.794826600002125
svr_rbf,120,0.01,0.01,22.783673672468257,22.687972398990123,2.0860715318956538,15.150499799987301
svr_rbf,120,0.015,0.002,22.81984685419526,22.690726102707313,2.4241203313454474,35.64146099984646
svr_rbf,90,0.015,0.002,22.830438924119022,22.706679451842977,2.373952345600282,28.60035700001754
svr_rbf,60,0.008,0.01,22.84377604805632,22.817749018981264,1.0901531271024762,8.687657099915668
svr_rbf,75,0.01,0.005,22.845499670061795,22.75369920815826,2.045978377073374,10.639361399924383
svr_rbf,90,0.006,0.005,22.846222108852622,22.830280866548613,0.8533113157170814,7.411796799860895
svr_rbf,75,0.015,0.002,22.85188527282035,22.737922605229606,2.2793718697773038,18.085024900035933
svr_rbf,120,0.01,0.002,22.854461578416494,22.69472781262604,2.6973586246796573,30.287499899975955
svr_rbf,75,0.012,0.005,22.866716561686708,22.76588329793045,2.1450603668728165,12.222665600012988
svr_rbf,75,0.01,0.01,22.87302842268507,22.812643555730812,1.660940463753143,7.0494820000603795
svr_rbf,60,0.008,0.005,22.88777641318243,22.853569817072326,1.2508620051910828,11.874537899857387
svr_rbf,90,0.008,0.002,22.892363552595445,22.81546655460164,1.874778632280137,12.233137500006706
svr_rbf,75,0.012,0.002,22.92282752727797,22.7884909357362,2.4780441314071955,19.637512900168076
svr_rbf,60,0.01,0.01,22.949278919820756,22.902717449846627,1.461142139636066,8.929359099827707
svr_rbf,75,0.008,0.002,22.9562962678425,22.894032597128735,1.6896182345625903,11.377615300007164
svr_rbf,60,0.015,0.002,22.996057390927547,22.884487483701896,2.2624959967091396,14.666877600131556
svr_rbf,90,0.01,0.002,22.99854822935788,22.858449586054917,2.534660367758595,15.544250600039959
svr_rbf,60,0.012,0.005,23.023365603246976,22.936017068834296,2.0036179074159564,11.997661100002006
svr_rbf,60,0.01,0.005,23.036903150615107,22.964080741848633,1.830273873680389,12.91029220004566
svr_rbf,75,0.006,0.01,23.057469199518952,23.041733423853394,0.8517081136412749,5.257975900080055
svr_rbf,90,0.006,0.002,23.071169685054816,23.056144248723804,0.8325160771015937,9.260129600064829
svr_rbf,90,0.015,0.005,23.08152509280995,22.961192266384106,2.3538161177454358,15.089041200000793
svr_rbf,60,0.012,0.002,23.088557953442958,22.963679530965365,2.3981098324756642,20.05458789994009
svr_rbf,75,0.015,0.005,23.118369919396244,23.002260294236805,2.314097899014181,12.990129800047725
svr_rbf,75,0.01,0.002,23.118701808835397,22.998436635322207,2.3550553405213814,14.441560399951413
svr_rbf,120,0.015,0.005,23.171513173802367,23.062040339504765,2.249737349725904,27.839973099995404
svr_rbf,60,0.008,0.002,23.1884842670419,23.141331583667643,1.4780308310708938,13.529144400032237
svr_rbf,75,0.006,0.005,23.200999681429714,23.187729687750384,0.7845878825989867,7.026095800101757
svr_rbf,90,0.012,0.01,23.239079410251662,23.15037307678697,2.0285557033416297,13.335600899998099
svr_rbf,45,0.01,0.01,23.24964519280773,23.21560990513713,1.2575604653242123,7.101195999886841
svr_rbf,45,0.01,0.005,23.25904880270312,23.20510901717086,1.5831192967496517,9.9553274998907
svr_rbf,45,0.015,0.002,23.261090647281705,23.15139938074667,2.256334375534613,14.52986290003173
svr_rbf,75,0.012,0.01,23.26282014398516,23.18413253608371,1.9117530177056192,7.3751139000523835
svr_rbf,45,0.008,0.01,23.268038644257846,23.249945969239622,0.9174065500718397,3.729595399927348
svr_rbf,60,0.015,0.005,23.277085047752337,23.171507408289365,2.2144825011470735,10.588247999781743
svr_rbf,60,0.01,0.002,23.299143040113027,23.201529773998036,2.1305122740622573,16.60411569988355
svr_rbf,45,0.012,0.005,23.301581492754913,23.225172966484603,1.8854815672318124,10.999619500013068
svr_rbf,60,0.012,0.01,23.325148090305294,23.257088030976593,1.7805588319620886,5.9107869998551905
svr_rbf,45,0.008,0.005,23.344965795793286,23.325465890465196,0.9539753662977678,4.962499500019476
svr_rbf,120,0.012,0.01,23.35342635784595,23.24481557956752,2.2496824938708895,15.922312999842688
svr_rbf,45,0.012,0.002,23.38480171631155,23.281197999368224,2.1988112755351654,14.471882400102913
svr_rbf,75,0.006,0.002,23.40934536391931,23.397595623999454,0.7415992064801915,8.814308600034565
svr_rbf,45,0.015,0.005,23.458820299744172,23.362265705284152,2.1262151752335283,8.391172700095922
svr_rbf,45,0.012,0.01,23.464924917306092,23.412683365785124,1.5649150099289164,8.353218799922615
svr_rbf,45,0.01,0.002,23.474390126619284,23.401692399391568,1.8460185971381777,11.327790200011805
svr_rbf,60,0.006,0.01,23.49349344826183,23.477331700306934,0.8712810323222946,3.8391893999651074
svr_rbf,60,0.006,0.005,23.627505480669264,23.614749396909115,0.77628999751165,5.0550663999747485
svr_rbf,45,0.008,0.002,23.689305339473897,23.663363833809264,1.1083318706932304,6.306685199961066
svr_rbf,60,0.006,0.002,23.775878032039536,23.765983650119363,0.6858551863763992,6.2582092001102865
svr_rbf,90,0.015,0.01,23.959774077824715,23.849615404350388,2.2949115287901214,9.580866000149399
svr_rbf,120,0.015,0.01,24.001402500929498,23.878788183762087,2.422972737496023,18.14140189997852
svr_rbf,75,0.015,0.01,24.004661691094185,23.89809309631311,2.259409051906282,8.555628899950534
svr_rbf,60,0.015,0.01,24.04300814064466,23.946459286655045,2.1525166860393474,7.535385900177062
svr_rbf,45,0.015,0.01,24.08468308503844,23.999468987423434,2.024215311778277,5.692786100087687
svr_rbf,45,0.006,0.01,24.203270868553826,24.186847067966546,0.8914873231763953,3.0918880000244826
svr_rbf,45,0.006,0.005,24.306655715793895,24.294303032414973,0.7748240157147211,4.096736000152305
svr_rbf,45,0.006,0.002,24.441008024951596,24.43191615314623,0.6665931003098658,4.716709400061518
